Index,Location,UTM_E,UTM_N
687,VIV-B10,463706.3465,5371620.293
688,VIV-B11,463575.8042,5371517.532
689,VIV-B12,463570.7518,5371341.154
690,WAL-B01,460818.76,5420150.134
691,WAL-B02,459030.8458,5421859.507
692,WAL-B03,459344.0629,5421134.608
693,WAL-B04,459918.9685,5420632.028
694,WAL-B05,459685.3326,5420900.522
695,WAL-B06,457997.3949,5422693.577
696,WAL-B07,458248.7901,5422536.046
697,WAL-B08,458499.1903,5422243.278
698,WAL-B09,458742.9001,5422032.095
699,WAL-B10,459214.8366,5421654.344
700,WAL-B11,459652.7572,5421121.244
701,WAL-B12,460552.6891,5420318.08
702,WAL-B13,459816.4618,5420973.686
703,WAL-B14,460367.3838,5420523.206
704,WAL-B15,460553.8041,5420130.938
705,WAL-B16,460249.3076,5420398.057
706,WAL-B17,460318.2117,5420645.842
707,WAL-B18,460060.0676,5420903.378
708,WAL-B19,459914.589,5421210.139
709,WAL-B20,459652.681,5421447.341
710,WAL-B21,459453.45,5421618.768
711,YUC-B01,484256,5408552
712,YUC-B02,484444,5408457
713,YUC-B03,484554,5408368
